"id","post_id","user_id","comment_id","reaction","is_active","created_date","updated_date"
113,116,41,705,0,1,"2024-01-15 00:00:00","2024-01-15 00:44:58.120673"
112,116,41,704,1,1,"2024-01-15 00:00:00","2024-01-15 00:43:36.163018"
114,116,41,706,1,1,"2024-01-15 00:00:00","2024-01-15 00:45:00.023858"
115,116,41,707,0,1,"2024-01-15 00:00:00","2024-01-15 00:49:22.029209"
116,118,41,709,0,1,"2024-01-15 00:00:00","2024-01-15 00:49:28.141911"
117,118,41,710,1,1,"2024-01-15 00:00:00","2024-01-15 00:50:12.619938"
118,118,41,711,0,1,"2024-01-15 00:00:00","2024-01-15 00:50:14.266731"
119,118,41,712,0,1,"2024-01-15 00:00:00","2024-01-15 00:50:48.171554"
121,118,43,710,1,0,"2024-01-15 00:00:00","2024-01-15 14:49:05.130196"
120,118,43,711,0,1,"2024-01-15 00:00:00","2024-01-15 14:57:11.376111"
123,116,43,719,0,0,"2024-01-15 00:00:00","2024-01-15 15:07:53.421503"
122,116,43,707,0,1,"2024-01-15 00:00:00","2024-01-15 15:17:09.214837"
124,137,13,724,1,1,"2024-01-23 00:00:00","2024-01-23 01:18:01.823923"
125,137,13,725,1,1,"2024-01-23 00:00:00","2024-01-23 01:18:17.011879"
126,137,13,726,0,1,"2024-01-23 00:00:00","2024-01-23 01:18:32.393438"
127,158,13,727,1,1,"2024-01-23 00:00:00","2024-01-23 03:01:47.628816"
128,163,13,732,1,1,"2024-01-23 00:00:00","2024-01-23 03:04:49.451885"
129,163,13,728,0,1,"2024-01-23 00:00:00","2024-01-23 03:04:50.582563"
130,170,51,770,0,0,"2024-01-25 00:00:00","2024-01-25 00:47:52.420909"
131,184,13,912,0,1,"2024-02-06 00:00:00","2024-02-06 00:10:37.800402"
132,192,66,920,0,0,"2024-02-18 00:00:00","2024-02-18 21:33:09.067624"
134,193,2,926,0,1,"2024-03-31 00:00:00","2024-03-31 15:24:00.925485"
135,193,2,927,1,1,"2024-03-31 00:00:00","2024-03-31 15:24:03.177961"
133,193,2,925,1,1,"2024-03-31 00:00:00","2024-03-31 15:24:07.867177"
